Name,Team,pff_id,pff_franchise_id,ID,player_id,team_id,Position,Role,Years,date_signed,year_signed,start_year,Total,APY,Guarantee,GPY,GP,total_guarantees,vested_guarantees,signing_bonus,option_bonus,roster_bonus,pergame_bonus,workout_bonus,incentives,FA,Status,is_featured,is_front,contract_type,ID2
Chris Godwin,Buccaneers,11839,30,84,5670,28,WR,Offense,4,5/31/2017,2017,2017,3284164,821041,663041,0,0.00%,663041,0,663041,0,0,0,0,0,,Active,,0,Drafted,0
Shaquill Griffin,Seahawks,11845,29,90,5676,32,CB,Defense,4,6/15/2017,2017,2017,3258620,814655,758620,0,0.00%,758620,0,758620,0,0,0,0,0,,Active,,0,Drafted,0
John Johnson,Rams,11847,26,91,5677,30,S,Defense,4,6/12/2017,2017,2017,3259490,814873,757752,0,0.00%,757752,0,757752,0,0,0,0,0,,Active,,0,Drafted,0
Jourdan Lewis,Cowboys,11846,9,92,5678,18,CB,Defense,4,6/28/2017,2017,2017,3248428,812107,753428,0,0.00%,753428,0,753428,0,0,0,0,0,,Active,,0,Drafted,0
Montravius Adams,Packers,11848,12,93,5679,23,34DE,Defense,4,7/5/2017,2017,2017,3261676,815419,744776,186194,22.80%,744776,0,744776,0,0,0,45000,0,2021,Active,,0,Drafted,0
Cameron Sutton,Steelers,11850,25,94,5680,8,CB,Defense,4,6/12/2017,2017,2017,3217128,804282,736128,184032,22.90%,736128,0,736128,0,0,0,0,0,2021,Active,,0,Drafted,0
Delano Hill,Seahawks,11849,29,95,5681,32,S,Defense,4,6/15/2017,2017,2017,3206726,801682,727476,0,0.00%,727476,0,727476,0,0,0,0,0,,Active,,,Drafted,
Kenny Golladay,Lions,11851,11,96,5682,22,WR,Offense,4,6/19/2017,2017,2017,3196324,799081,718824,0,0.00%,718824,0,718824,0,0,0,0,0,,Active,,,Drafted,
Jonnu Smith,Titans,11855,31,100,5686,12,TE,Offense,4,5/15/2017,2017,2017,3175913,793978,706288,0,0.00%,706288,0,706288,0,0,0,0,0,,Active,,0,Drafted,0
Trey Hendrickson,Saints,11858,20,103,5689,27,43DE,Defense,4,6/2/2017,2017,2017,3175788,793947,706288,176572,22.20%,706288,0,706288,0,0,0,0,0,2021,Active,,0,Drafted,0
C.J. Beathard,49ers,11859,28,104,5690,31,QB,Offense,4,6/13/2017,2017,2017,3528646,882162,706288,176572,20.00%,706288,0,706288,0,0,0,0,0,2021,Active,,0,Drafted,0
James Conner,Steelers,11860,25,105,5691,8,RB,Offense,4,5/12/2017,2017,2017,3175288,793822,706288,0,0.00%,706288,0,706288,0,0,0,0,0,,Active,,0,Drafted,0
Jaleel Johnson,Vikings,11864,18,109,5695,24,43DT,Defense,4,5/30/2017,2017,2017,3078360,769590,678360,169590,22.00%,678360,0,678360,0,0,0,0,0,2021,Active,,0,Drafted,0
Dede Westbrook,Jaguars,11865,15,110,5696,11,WR,Offense,4,5/15/2017,2017,2017,3076164,769041,676164,0,0.00%,676164,0,676164,0,0,0,0,0,,Active,,,Drafted,
Rayshawn Jenkins,Chargers,11868,27,113,5699,15,S,Defense,4,5/22/2017,2017,2017,3062212,765553,662212,0,0.00%,662212,0,662212,0,0,0,0,0,,Active,,0,Drafted,0
Carl Lawson,Bengals,11871,7,116,5702,7,43DE,Defense,4,5/7/2017,2017,2017,3052620,763155,652620,0,0.00%,652620,0,652620,0,0,0,0,0,,Active,,0,Drafted,0
Josh Reynolds,Rams,11872,26,117,5703,30,WR,Offense,4,6/21/2017,2017,2017,3048024,762006,648024,0,0.00%,648024,0,648024,0,0,0,0,0,,Active,,0,Drafted,0
Jalen Reeves-Maybin,Lions,11879,11,124,5710,22,43OLB,Defense,4,5/12/2017,2017,2017,3013092,753273,613092,0,0.00%,613092,0,613092,0,0,0,0,0,,Active,,0,Drafted,0
Samson Ebukam,Rams,11880,26,125,5711,30,34OLB,Defense,4,6/21/2017,2017,2017,3007012,751753,607012,0,0.00%,607012,0,607012,0,0,0,0,0,,Active,,0,Drafted,0
Deatrich Wise,Patriots,11886,19,131,5717,2,43DE,Defense,4,5/18/2017,2017,2017,2980560,745140,580560,0,0.00%,580560,0,580560,0,0,0,0,0,,Active,,0,Drafted,0
Jamaal Williams,Packers,11889,12,134,5720,23,RB,Offense,4,5/31/2017,2017,2017,2965992,741498,565992,0,0.00%,565992,0,565992,0,0,0,0,0,,Active,,,Drafted,
Wayne Gallman,Giants,11895,21,140,5726,17,RB,Offense,4,5/30/2017,2017,2017,2819648,704912,419648,104912,14.90%,419648,0,419648,0,0,0,0,0,2021,Active,,0,Drafted,0
Carlos Watkins,Texans,11897,13,142,5728,9,34DE,Defense,4,5/12/2017,2017,2017,2819648,704912,419648,104912,14.88%,419648,0,419648,0,0,0,0,0,2021,Active,,0,Drafted,0
Marlon Mack,Colts,11898,14,143,5729,10,RB,Offense,4,5/18/2017,2017,2017,2534348,633587,0,0,0.00%,0,0,419348,0,0,0,0,0,,Active,,,Drafted,
Grover Stewart,Colts,11899,14,144,5730,10,43DT,Defense,4,5/18/2017,2017,2017,2534348,633587,0,0,0.00%,0,0,419348,0,0,0,0,0,,Active,,0,Drafted,0
Jake Butt,Broncos,11900,10,145,5731,13,TE,Offense,4,5/11/2017,2017,2017,2700948,675237,300948,0,0.00%,300948,0,300948,0,0,0,0,0,,Active,,,Drafted,
Damontae Kazee,Falcons,11904,2,149,5735,25,S,Defense,4,5/9/2017,2017,2017,2688932,672233,288932,0,0.00%,288932,0,288932,0,0,0,0,0,,Active,,,Drafted,
Jeremy Sprinkle,Football Team,11909,32,154,5740,20,TE,Offense,4,5/9/2017,2017,2017,2676516,669129,276516,0,0.00%,276516,0,276516,0,0,0,0,0,,Active,,0,Drafted,0
Jayon Brown,Titans,11910,31,155,5741,12,ILB,Defense,4,5/23/2017,2017,2017,2671564,667891,271564,0,0.00%,271564,0,271564,0,0,0,0,0,,Active,,0,Drafted,0
Anthony Walker Jr.,Colts,11916,14,161,5747,10,ILB,Defense,4,5/11/2017,2017,2017,2665428,666357,265428,0,0.00%,265428,0,265428,0,0,0,0,0,,Active,,0,Drafted,0
Matt Milano,Bills,11918,4,163,5749,1,43OLB,Defense,4,5/12/2017,2017,2017,2661516,665379,261516,0,0.00%,261516,0,261516,0,0,0,0,0,,Active,,,Drafted,
Jamal Agnew,Lions,11920,11,165,5751,22,CB,Defense,4,5/12/2017,2017,2017,2658376,664594,258376,0,0.00%,258376,0,258376,0,0,0,0,0,,Active,,0,Drafted,0
Trent Taylor,49ers,11932,28,177,5763,31,WR,Offense,4,5/4/2017,2017,2017,2601948,650487,201948,0,0.00%,201948,0,201948,0,0,0,0,0,,Active,,0,Drafted,0
Davon Godchaux,Dolphins,11934,17,178,5764,3,34DT,Defense,4,5/17/2017,2017,2017,2601948,650487,201948,0,0.00%,201948,0,201948,0,0,0,0,0,,Active,,,Drafted,
Aaron Jones,Packers,11937,12,182,5768,23,RB,Offense,4,5/4/2017,2017,2017,2601948,650487,201948,0,0.00%,201948,0,201948,0,0,0,0,0,,Active,,0,Drafted,0
Sam Tevi,Chargers,11945,27,190,5776,15,LT,Offense,4,5/12/2017,2017,2017,2561804,640451,161804,0,0.00%,161804,0,161804,0,0,0,0,0,,Active,,,Drafted,
Xavier Woods,Cowboys,11946,9,191,5777,18,S,Defense,4,5/12/2017,2017,2017,2559620,639905,159620,0,0.00%,159620,0,159620,0,0,0,0,0,,Active,,0,Drafted,0
Jordan Evans,Bengals,11947,7,193,5779,7,43OLB,Defense,4,5/15/2017,2017,2017,2556520,639130,156520,0,0.00%,156520,0,156520,0,0,0,0,0,,Active,,,Drafted,
D.J. Jones,49ers,11953,28,198,5784,31,43DT,Defense,4,5/5/2017,2017,2017,2547868,636967,147868,0,0.00%,147868,0,147868,0,0,0,0,0,,Active,,0,Drafted,0
Chase Roullier,Football Team,11954,32,199,5785,20,C,Offense,4,5/9/2017,2017,2017,2547180,636795,147180,0,0.00%,147180,0,147180,0,0,0,0,0,,Active,,0,Drafted,0
Josh Harvey-Clemons,Football Team,11985,32,230,5816,20,ILB,Defense,4,4/11/2017,2017,2017,2484320,621080,84320,0,0.00%,84320,0,84320,0,0,0,0,0,,Active,,,Drafted,
Noah Brown,Cowboys,11993,9,239,5825,18,WR,Offense,4,5/12/2017,2017,2017,2471952,617988,71952,0,0.00%,71952,0,71952,0,0,0,0,0,,Active,,,Drafted,
Chris Carson,Seahawks,12004,29,249,5835,32,RB,Offense,4,5/11/2017,2017,2017,2465140,616285,65140,0,0.00%,65140,0,65140,0,0,0,0,0,,Active,,0,Drafted,0
Von Miller,Broncos,6154,10,771,2,13,34OLB,Defense,6,7/15/2016,2016,2016,114500000,19083333,42000000,0,0.00%,70000000,28000000,17500000,0,6000000,0,2000000,0,,Active,,,Franchise,
Zach Ertz,Eagles,7816,24,881,112,19,TE,Offense,5,1/25/2016,2016,2017,42500000,8500000,13318527,0,0.00%,20000000,0,8000000,0,0,0,0,3300000,,Active,,,Extension,
Marvin Jones,Lions,7158,11,962,194,22,WR,Offense,5,3/10/2016,2016,2016,40000000,8000000,13000000,0,0.00%,20000000,7000000,8000000,0,2000000,0,0,0,,Active,,0,UFA,0
Stephon Gilmore,Patriots,7016,19,1023,255,2,CB,Defense,5,3/10/2017,2017,2017,65000000,13000000,31000000,0,0.00%,40000000,5000000,18000000,0,0,2500000,0,0,,Active,,,UFA,
