Name,Team,pff_id,pff_franchise_id,ID,player_id,contract_id,team_id,Position,Role,Year,BS,PB,RB,PGRB,WO,OB,option_bonus,restructure_bonus,CP,DM,CS,GBS,VGBS,Notes,CshBns,Cshpay,Cshtocp,tb,initial_cash,old_money,cash_dead,Status,contract_type,provisional,credits,is_split_salary
Jimmy Morrissey,Texans,41626,13,74075,9694,35838,9,C,Offense,2022,825000,0,0,0,0,0,0,0,825000,0,0,0,0,,0,825000,0,,825000,0,0,Active,ERFA,,0,1
Chris Godwin,Buccaneers,11839,30,74076,5670,35839,28,WR,Offense,2022,1250000,3750000,0,0,0,0,0,0,5000000,0,0,1250000,0,19.18m tender,18750000,20000000,0,,20000000,0,0,Active,Franchise,,0,0
Ja'Marcus Bradley,Browns,27003,8,74078,9251,35841,6,WR,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Michael Dunn,Browns,39676,8,74079,6362,35842,6,LG,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Blake Hance,Browns,46301,8,74080,8397,35843,6,RT,Offense,2022,825000,0,0,0,0,0,0,0,825000,0,0,0,0,,0,825000,0,,825000,0,0,Active,ERFA,,0,0
Jessie Bates III,Bengals,49162,7,74081,6939,35844,7,S,Defense,2022,12911000,0,0,0,0,0,0,0,12911000,0,0,0,0,,0,12911000,0,,12911000,0,0,Active,Franchise,,0,0
Calvin Ridley,Falcons,48262,2,74082,6911,15750,25,WR,Offense,2023,11116000,0,0,0,0,0,0,0,11116000,0,0,0,0,,0,11116000,0,,0,0,0,Active,Drafted,Tolled,0,0
Clay Johnston,Bengals,25685,7,74083,8974,35845,7,LB,Defense,2022,825000,0,0,0,0,0,0,0,825000,0,0,0,0,,0,825000,0,,825000,0,0,Active,ERFA,,0,0
Ian Thomas,Panthers,42130,5,74084,6986,35846,26,TE,Offense,2022,1035000,1666666,0,300000,100000,0,0,0,3101666,0,0,1035000,0,,5000000,6435000,0,,6435000,0,0,Active,UFA,,0,0
Ian Thomas,Panthers,42130,5,74085,6986,35846,26,TE,Offense,2023,3165000,1666666,1500000,300000,100000,0,0,0,6731000,0,0,1965000,0,,0,5065000,0,,5065000,0,0,Active,UFA,,0,0
Ian Thomas,Panthers,42130,5,74086,6986,35846,26,TE,Offense,2024,5050000,1666668,0,300000,100000,0,0,0,7166668,0,0,0,0,,0,5450000,0,,5450000,0,0,Active,UFA,,0,0
Mike Gesicki,Dolphins,47153,17,74087,6927,35847,3,TE,Offense,2022,10931000,0,0,0,0,0,0,0,10931000,0,0,10931000,0,,0,10931000,0,,10931000,0,0,Active,Franchise,,0,0
